iscedf13,isced11,sex,geo,time,value
Total,Bachelor's or equivalent level,Total,Belgium,2014,362780
Total,Bachelor's or equivalent level,Total,Belgium,2015,365925
Total,Bachelor's or equivalent level,Total,Belgium,2016,369299
Total,Bachelor's or equivalent level,Total,Belgium,2017,384173
Total,Bachelor's or equivalent level,Total,Belgium,2018,372686
Total,Bachelor's or equivalent level,Total,Belgium,2019,376473
Total,Bachelor's or equivalent level,Total,Belgium,2020,371661
Total,Bachelor's or equivalent level,Total,Belgium,2021,379280
Total,Bachelor's or equivalent level,Total,Belgium,2022,382298
Total,Bachelor's or equivalent level,Total,Belgium,2023,379455
Total,Bachelor's or equivalent level,Total,Bulgaria,2014,191416
Total,Bachelor's or equivalent level,Total,Bulgaria,2015,186702
Total,Bachelor's or equivalent level,Total,Bulgaria,2016,178365
Total,Bachelor's or equivalent level,Total,Bulgaria,2017,165572
Total,Bachelor's or equivalent level,Total,Bulgaria,2018,155091
Total,Bachelor's or equivalent level,Total,Bulgaria,2019,149686
Total,Bachelor's or equivalent level,Total,Bulgaria,2020,147944
Total,Bachelor's or equivalent level,Total,Bulgaria,2021,147756
Total,Bachelor's or equivalent level,Total,Bulgaria,2022,146799
Total,Bachelor's or equivalent level,Total,Bulgaria,2023,142730
Total,Bachelor's or equivalent level,Total,Czechia,2014,256329
Total,Bachelor's or equivalent level,Total,Czechia,2015,236887
Total,Bachelor's or equivalent level,Total,Czechia,2016,221198
Total,Bachelor's or equivalent level,Total,Czechia,2017,206068
Total,Bachelor's or equivalent level,Total,Czechia,2018,193614
Total,Bachelor's or equivalent level,Total,Czechia,2019,187830
Total,Bachelor's or equivalent level,Total,Czechia,2020,190673
Total,Bachelor's or equivalent level,Total,Czechia,2021,198701
Total,Bachelor's or equivalent level,Total,Czechia,2022,204943
Total,Bachelor's or equivalent level,Total,Czechia,2023,207109
Total,Bachelor's or equivalent level,Total,Denmark,2014,187902
Total,Bachelor's or equivalent level,Total,Denmark,2015,195054
Total,Bachelor's or equivalent level,Total,Denmark,2016,195700
Total,Bachelor's or equivalent level,Total,Denmark,2017,195969
Total,Bachelor's or equivalent level,Total,Denmark,2018,195846
Total,Bachelor's or equivalent level,Total,Denmark,2019,194663
Total,Bachelor's or equivalent level,Total,Denmark,2020,194534
Total,Bachelor's or equivalent level,Total,Denmark,2021,193917
Total,Bachelor's or equivalent level,Total,Denmark,2022,194686
Total,Bachelor's or equivalent level,Total,Denmark,2023,187015
Total,Bachelor's or equivalent level,Total,Germany,2014,1734827
Total,Bachelor's or equivalent level,Total,Germany,2015,1792434
Total,Bachelor's or equivalent level,Total,Germany,2016,1832459
Total,Bachelor's or equivalent level,Total,Germany,2017,1859807
Total,Bachelor's or equivalent level,Total,Germany,2018,1872666
Total,Bachelor's or equivalent level,Total,Germany,2019,2012794
Total,Bachelor's or equivalent level,Total,Germany,2020,2002583
Total,Bachelor's or equivalent level,Total,Germany,2021,2032396
Total,Bachelor's or equivalent level,Total,Germany,2022,2017903
Total,Bachelor's or equivalent level,Total,Germany,2023,1989871
Total,Bachelor's or equivalent level,Total,Estonia,2014,40539
Total,Bachelor's or equivalent level,Total,Estonia,2015,36299
Total,Bachelor's or equivalent level,Total,Estonia,2016,32799
Total,Bachelor's or equivalent level,Total,Estonia,2017,30003
Total,Bachelor's or equivalent level,Total,Estonia,2018,28719
Total,Bachelor's or equivalent level,Total,Estonia,2019,28211
Total,Bachelor's or equivalent level,Total,Estonia,2020,27471
Total,Bachelor's or equivalent level,Total,Estonia,2021,27460
Total,Bachelor's or equivalent level,Total,Estonia,2022,27057
Total,Bachelor's or equivalent level,Total,Estonia,2023,26995
Total,Bachelor's or equivalent level,Total,Ireland,2014,154294
Total,Bachelor's or equivalent level,Total,Ireland,2015,161302
Total,Bachelor's or equivalent level,Total,Ireland,2016,164268
Total,Bachelor's or equivalent level,Total,Ireland,2017,166891
Total,Bachelor's or equivalent level,Total,Ireland,2018,168877
Total,Bachelor's or equivalent level,Total,Ireland,2019,167449
Total,Bachelor's or equivalent level,Total,Ireland,2020,167763
Total,Bachelor's or equivalent level,Total,Ireland,2021,175183
Total,Bachelor's or equivalent level,Total,Ireland,2022,176360
Total,Bachelor's or equivalent level,Total,Ireland,2023,175425
Total,Bachelor's or equivalent level,Total,Greece,2014,598990
Total,Bachelor's or equivalent level,Total,Greece,2015,604666
Total,Bachelor's or equivalent level,Total,Greece,2016,618544
Total,Bachelor's or equivalent level,Total,Greece,2017,634024
Total,Bachelor's or equivalent level,Total,Greece,2018,659535
Total,Bachelor's or equivalent level,Total,Greece,2019,678926
Total,Bachelor's or equivalent level,Total,Greece,2020,687121
Total,Bachelor's or equivalent level,Total,Greece,2021,715148
Total,Bachelor's or equivalent level,Total,Greece,2022,736677
Total,Bachelor's or equivalent level,Total,Greece,2023,734379
Total,Bachelor's or equivalent level,Total,Spain,2014,1180345
Total,Bachelor's or equivalent level,Total,Spain,2015,1204409
Total,Bachelor's or equivalent level,Total,Spain,2016,1207281
Total,Bachelor's or equivalent level,Total,Spain,2017,1211630
Total,Bachelor's or equivalent level,Total,Spain,2018,1212026
Total,Bachelor's or equivalent level,Total,Spain,2019,1217669
Total,Bachelor's or equivalent level,Total,Spain,2020,1224186
Total,Bachelor's or equivalent level,Total,Spain,2021,1263107
Total,Bachelor's or equivalent level,Total,Spain,2022,1261126
Total,Bachelor's or equivalent level,Total,Spain,2023,1269845
Total,Bachelor's or equivalent level,Total,France,2014,961447
Total,Bachelor's or equivalent level,Total,France,2015,991175
Total,Bachelor's or equivalent level,Total,France,2016,1025434
Total,Bachelor's or equivalent level,Total,France,2017,1041756
Total,Bachelor's or equivalent level,Total,France,2018,1058491
Total,Bachelor's or equivalent level,Total,France,2019,1083029
Total,Bachelor's or equivalent level,Total,France,2020,1116575
Total,Bachelor's or equivalent level,Total,France,2021,1185809
Total,Bachelor's or equivalent level,Total,France,2022,1269807
Total,Bachelor's or equivalent level,Total,France,2023,1295042
Total,Bachelor's or equivalent level,Total,Croatia,2014,102375
Total,Bachelor's or equivalent level,Total,Croatia,2015,100879
Total,Bachelor's or equivalent level,Total,Croatia,2016,98573
Total,Bachelor's or equivalent level,Total,Croatia,2017,99113
Total,Bachelor's or equivalent level,Total,Croatia,2018,97605
Total,Bachelor's or equivalent level,Total,Croatia,2019,95672
Total,Bachelor's or equivalent level,Total,Croatia,2020,93233
Total,Bachelor's or equivalent level,Total,Croatia,2021,91929
Total,Bachelor's or equivalent level,Total,Croatia,2022,91262
Total,Bachelor's or equivalent level,Total,Croatia,2023,89412
Total,Bachelor's or equivalent level,Total,Italy,2014,1090764
Total,Bachelor's or equivalent level,Total,Italy,2015,1076667
Total,Bachelor's or equivalent level,Total,Italy,2016,1075456
Total,Bachelor's or equivalent level,Total,Italy,2017,1102137
Total,Bachelor's or equivalent level,Total,Italy,2018,1140641
Total,Bachelor's or equivalent level,Total,Italy,2019,1163983
Total,Bachelor's or equivalent level,Total,Italy,2020,1227227
Total,Bachelor's or equivalent level,Total,Italy,2021,1244672
Total,Bachelor's or equivalent level,Total,Italy,2022,1272273
Total,Bachelor's or equivalent level,Total,Italy,2023,1316659
Total,Bachelor's or equivalent level,Total,Cyprus,2014,19779
Total,Bachelor's or equivalent level,Total,Cyprus,2015,19994
Total,Bachelor's or equivalent level,Total,Cyprus,2016,20300
Total,Bachelor's or equivalent level,Total,Cyprus,2017,21632
Total,Bachelor's or equivalent level,Total,Cyprus,2018,22615
Total,Bachelor's or equivalent level,Total,Cyprus,2019,23758
Total,Bachelor's or equivalent level,Total,Cyprus,2020,24046
Total,Bachelor's or equivalent level,Total,Cyprus,2021,23204
Total,Bachelor's or equivalent level,Total,Cyprus,2022,22228
Total,Bachelor's or equivalent level,Total,Cyprus,2023,23640
Total,Bachelor's or equivalent level,Total,Latvia,2014,57955
Total,Bachelor's or equivalent level,Total,Latvia,2015,50634
Total,Bachelor's or equivalent level,Total,Latvia,2016,49395
Total,Bachelor's or equivalent level,Total,Latvia,2017,48322
Total,Bachelor's or equivalent level,Total,Latvia,2018,46164
Total,Bachelor's or equivalent level,Total,Latvia,2019,45332
Total,Bachelor's or equivalent level,Total,Latvia,2020,44856
Total,Bachelor's or equivalent level,Total,Latvia,2021,44187
Total,Bachelor's or equivalent level,Total,Latvia,2022,43556
Total,Bachelor's or equivalent level,Total,Latvia,2023,43126
Total,Bachelor's or equivalent level,Total,Lithuania,2014,113881
Total,Bachelor's or equivalent level,Total,Lithuania,2015,108083
Total,Bachelor's or equivalent level,Total,Lithuania,2016,102425
Total,Bachelor's or equivalent level,Total,Lithuania,2017,95539
Total,Bachelor's or equivalent level,Total,Lithuania,2018,88468
Total,Bachelor's or equivalent level,Total,Lithuania,2019,82178
Total,Bachelor's or equivalent level,Total,Lithuania,2020,77130
Total,Bachelor's or equivalent level,Total,Lithuania,2021,75171
Total,Bachelor's or equivalent level,Total,Lithuania,2022,74161
Total,Bachelor's or equivalent level,Total,Lithuania,2023,73171
Total,Bachelor's or equivalent level,Total,Luxembourg,2014,3302
Total,Bachelor's or equivalent level,Total,Luxembourg,2015,3231
Total,Bachelor's or equivalent level,Total,Luxembourg,2016,3173
Total,Bachelor's or equivalent level,Total,Luxembourg,2017,3196
Total,Bachelor's or equivalent level,Total,Luxembourg,2018,3050
Total,Bachelor's or equivalent level,Total,Luxembourg,2019,2940
Total,Bachelor's or equivalent level,Total,Luxembourg,2020,3056
Total,Bachelor's or equivalent level,Total,Luxembourg,2021,3085
Total,Bachelor's or equivalent level,Total,Luxembourg,2022,3065
Total,Bachelor's or equivalent level,Total,Luxembourg,2023,3051
Total,Bachelor's or equivalent level,Total,Hungary,2014,228535
Total,Bachelor's or equivalent level,Total,Hungary,2015,214737
Total,Bachelor's or equivalent level,Total,Hungary,2016,199956
Total,Bachelor's or equivalent level,Total,Hungary,2017,187345
Total,Bachelor's or equivalent level,Total,Hungary,2018,183509
Total,Bachelor's or equivalent level,Total,Hungary,2019,182235
Total,Bachelor's or equivalent level,Total,Hungary,2020,184868
Total,Bachelor's or equivalent level,Total,Hungary,2021,183161
Total,Bachelor's or equivalent level,Total,Hungary,2022,185758
Total,Bachelor's or equivalent level,Total,Hungary,2023,183913
Total,Bachelor's or equivalent level,Total,Malta,2014,6933
Total,Bachelor's or equivalent level,Total,Malta,2015,7026
Total,Bachelor's or equivalent level,Total,Malta,2016,7924
Total,Bachelor's or equivalent level,Total,Malta,2017,8359
Total,Bachelor's or equivalent level,Total,Malta,2018,8553
Total,Bachelor's or equivalent level,Total,Malta,2019,8850
Total,Bachelor's or equivalent level,Total,Malta,2020,8912
Total,Bachelor's or equivalent level,Total,Malta,2021,9321
Total,Bachelor's or equivalent level,Total,Malta,2022,10055
Total,Bachelor's or equivalent level,Total,Malta,2023,10941
Total,Bachelor's or equivalent level,Total,Netherlands,2014,579124
Total,Bachelor's or equivalent level,Total,Netherlands,2015,646851
Total,Bachelor's or equivalent level,Total,Netherlands,2016,635944
Total,Bachelor's or equivalent level,Total,Netherlands,2017,659625
Total,Bachelor's or equivalent level,Total,Netherlands,2018,668811
Total,Bachelor's or equivalent level,Total,Netherlands,2019,686974
Total,Bachelor's or equivalent level,Total,Netherlands,2020,695419
Total,Bachelor's or equivalent level,Total,Netherlands,2021,730755
Total,Bachelor's or equivalent level,Total,Netherlands,2022,720096
Total,Bachelor's or equivalent level,Total,Netherlands,2023,709340
Total,Bachelor's or equivalent level,Total,Austria,2014,179406
Total,Bachelor's or equivalent level,Total,Austria,2015,183768
Total,Bachelor's or equivalent level,Total,Austria,2016,192467
Total,Bachelor's or equivalent level,Total,Austria,2017,195964
Total,Bachelor's or equivalent level,Total,Austria,2018,199236
Total,Bachelor's or equivalent level,Total,Austria,2019,197202
Total,Bachelor's or equivalent level,Total,Austria,2020,196271
Total,Bachelor's or equivalent level,Total,Austria,2021,203227
Total,Bachelor's or equivalent level,Total,Austria,2022,199440
Total,Bachelor's or equivalent level,Total,Austria,2023,194462
Total,Bachelor's or equivalent level,Total,Poland,2014,1172637
Total,Bachelor's or equivalent level,Total,Poland,2015,1104364
Total,Bachelor's or equivalent level,Total,Poland,2016,1058947
Total,Bachelor's or equivalent level,Total,Poland,2017,1027241
Total,Bachelor's or equivalent level,Total,Poland,2018,986723
Total,Bachelor's or equivalent level,Total,Poland,2019,951570
Total,Bachelor's or equivalent level,Total,Poland,2020,917005
Total,Bachelor's or equivalent level,Total,Poland,2021,884776
Total,Bachelor's or equivalent level,Total,Poland,2022,895162
Total,Bachelor's or equivalent level,Total,Poland,2023,884814
Total,Bachelor's or equivalent level,Total,Portugal,2014,220859
Total,Bachelor's or equivalent level,Total,Portugal,2015,203836
Total,Bachelor's or equivalent level,Total,Portugal,2016,202162
Total,Bachelor's or equivalent level,Total,Portugal,2017,200567
Total,Bachelor's or equivalent level,Total,Portugal,2018,205180
Total,Bachelor's or equivalent level,Total,Portugal,2019,208277
Total,Bachelor's or equivalent level,Total,Portugal,2020,216142
Total,Bachelor's or equivalent level,Total,Portugal,2021,231101
Total,Bachelor's or equivalent level,Total,Portugal,2022,257667
Total,Bachelor's or equivalent level,Total,Portugal,2023,265441
Total,Bachelor's or equivalent level,Total,Romania,2014,377136
Total,Bachelor's or equivalent level,Total,Romania,2015,354186
Total,Bachelor's or equivalent level,Total,Romania,2016,352721
Total,Bachelor's or equivalent level,Total,Romania,2017,347910
Total,Bachelor's or equivalent level,Total,Romania,2018,350263
Total,Bachelor's or equivalent level,Total,Romania,2019,344928
Total,Bachelor's or equivalent level,Total,Romania,2020,349414
Total,Bachelor's or equivalent level,Total,Romania,2021,359325
Total,Bachelor's or equivalent level,Total,Romania,2022,356331
Total,Bachelor's or equivalent level,Total,Romania,2023,349086
Total,Bachelor's or equivalent level,Total,Slovenia,2014,53019
Total,Bachelor's or equivalent level,Total,Slovenia,2015,48893
Total,Bachelor's or equivalent level,Total,Slovenia,2016,45292
Total,Bachelor's or equivalent level,Total,Slovenia,2017,44124
Total,Bachelor's or equivalent level,Total,Slovenia,2018,41840
Total,Bachelor's or equivalent level,Total,Slovenia,2019,41348
Total,Bachelor's or equivalent level,Total,Slovenia,2020,41933
Total,Bachelor's or equivalent level,Total,Slovenia,2021,45868
Total,Bachelor's or equivalent level,Total,Slovenia,2022,45339
Total,Bachelor's or equivalent level,Total,Slovenia,2023,44284
Total,Bachelor's or equivalent level,Total,Slovakia,2014,113149
Total,Bachelor's or equivalent level,Total,Slovakia,2015,102434
Total,Bachelor's or equivalent level,Total,Slovakia,2016,92623
Total,Bachelor's or equivalent level,Total,Slovakia,2017,85297
Total,Bachelor's or equivalent level,Total,Slovakia,2018,79000
Total,Bachelor's or equivalent level,Total,Slovakia,2019,77176
Total,Bachelor's or equivalent level,Total,Slovakia,2020,78538
Total,Bachelor's or equivalent level,Total,Slovakia,2021,83209
Total,Bachelor's or equivalent level,Total,Slovakia,2022,83565
Total,Bachelor's or equivalent level,Total,Slovakia,2023,84264
Total,Bachelor's or equivalent level,Total,Finland,2014,223519
Total,Bachelor's or equivalent level,Total,Finland,2015,219370
Total,Bachelor's or equivalent level,Total,Finland,2016,215196
Total,Bachelor's or equivalent level,Total,Finland,2017,211056
Total,Bachelor's or equivalent level,Total,Finland,2018,207313
Total,Bachelor's or equivalent level,Total,Finland,2019,205501
Total,Bachelor's or equivalent level,Total,Finland,2020,204676
Total,Bachelor's or equivalent level,Total,Finland,2021,210640
Total,Bachelor's or equivalent level,Total,Finland,2022,216270
Total,Bachelor's or equivalent level,Total,Finland,2023,225500
Total,Bachelor's or equivalent level,Total,Sweden,2014,247169
Total,Bachelor's or equivalent level,Total,Sweden,2015,246400
Total,Bachelor's or equivalent level,Total,Sweden,2016,242983
Total,Bachelor's or equivalent level,Total,Sweden,2017,240687
Total,Bachelor's or equivalent level,Total,Sweden,2018,241045
Total,Bachelor's or equivalent level,Total,Sweden,2019,243372
Total,Bachelor's or equivalent level,Total,Sweden,2020,256655
Total,Bachelor's or equivalent level,Total,Sweden,2021,275282
Total,Bachelor's or equivalent level,Total,Sweden,2022,264725
Total,Bachelor's or equivalent level,Total,Sweden,2023,260591
Total,Bachelor's or equivalent level,Total,Iceland,2014,13975
Total,Bachelor's or equivalent level,Total,Iceland,2015,13393
Total,Bachelor's or equivalent level,Total,Iceland,2016,13075
Total,Bachelor's or equivalent level,Total,Iceland,2017,12537
Total,Bachelor's or equivalent level,Total,Iceland,2018,12189
Total,Bachelor's or equivalent level,Total,Iceland,2019,12480
Total,Bachelor's or equivalent level,Total,Iceland,2020,13011
Total,Bachelor's or equivalent level,Total,Iceland,2021,14834
Total,Bachelor's or equivalent level,Total,Iceland,2022,14744
Total,Bachelor's or equivalent level,Total,Iceland,2023,13554
Total,Bachelor's or equivalent level,Total,Liechtenstein,2014,468
Total,Bachelor's or equivalent level,Total,Liechtenstein,2015,393
Total,Bachelor's or equivalent level,Total,Liechtenstein,2016,372
Total,Bachelor's or equivalent level,Total,Liechtenstein,2017,381
Total,Bachelor's or equivalent level,Total,Liechtenstein,2018,406
Total,Bachelor's or equivalent level,Total,Liechtenstein,2019,458
Total,Bachelor's or equivalent level,Total,Liechtenstein,2020,446
Total,Bachelor's or equivalent level,Total,Liechtenstein,2021,433
Total,Bachelor's or equivalent level,Total,Liechtenstein,2022,439
Total,Bachelor's or equivalent level,Total,Norway,2014,186971
Total,Bachelor's or equivalent level,Total,Norway,2015,188823
Total,Bachelor's or equivalent level,Total,Norway,2016,196094
Total,Bachelor's or equivalent level,Total,Norway,2017,200498
Total,Bachelor's or equivalent level,Total,Norway,2018,199223
Total,Bachelor's or equivalent level,Total,Norway,2019,195433
Total,Bachelor's or equivalent level,Total,Norway,2020,192835
Total,Bachelor's or equivalent level,Total,Norway,2021,197990
Total,Bachelor's or equivalent level,Total,Norway,2022,199195
Total,Bachelor's or equivalent level,Total,Norway,2023,191809
Total,Bachelor's or equivalent level,Total,Switzerland,2014,193575
Total,Bachelor's or equivalent level,Total,Switzerland,2015,195437
Total,Bachelor's or equivalent level,Total,Switzerland,2016,199641
Total,Bachelor's or equivalent level,Total,Switzerland,2017,203274
Total,Bachelor's or equivalent level,Total,Switzerland,2018,207284
Total,Bachelor's or equivalent level,Total,Switzerland,2019,211131
Total,Bachelor's or equivalent level,Total,Switzerland,2020,214406
Total,Bachelor's or equivalent level,Total,Switzerland,2021,221808
Total,Bachelor's or equivalent level,Total,Switzerland,2022,223681
Total,Bachelor's or equivalent level,Total,Switzerland,2023,220651
Total,Bachelor's or equivalent level,Total,United Kingdom,2014,1532677
Total,Bachelor's or equivalent level,Total,United Kingdom,2015,1523902
Total,Bachelor's or equivalent level,Total,United Kingdom,2016,1563490
Total,Bachelor's or equivalent level,Total,United Kingdom,2017,1597284
Total,Bachelor's or equivalent level,Total,United Kingdom,2018,1620993
Total,Bachelor's or equivalent level,Total,United Kingdom,2019,1689177
Total,Bachelor's or equivalent level,Total,Bosnia and Herzegovina,2018,74365
Total,Bachelor's or equivalent level,Total,Bosnia and Herzegovina,2019,67031
Total,Bachelor's or equivalent level,Total,Bosnia and Herzegovina,2020,60283
Total,Bachelor's or equivalent level,Total,Bosnia and Herzegovina,2021,59082
Total,Bachelor's or equivalent level,Total,Bosnia and Herzegovina,2022,56312
Total,Bachelor's or equivalent level,Total,Bosnia and Herzegovina,2023,54487
Total,Bachelor's or equivalent level,Total,Montenegro,2016,23601
Total,Bachelor's or equivalent level,Total,Montenegro,2017,23609
Total,Bachelor's or equivalent level,Total,Montenegro,2018,22465
Total,Bachelor's or equivalent level,Total,Montenegro,2019,21308
Total,Bachelor's or equivalent level,Total,Montenegro,2020,20719
Total,Bachelor's or equivalent level,Total,Montenegro,2021,19531
Total,Bachelor's or equivalent level,Total,Montenegro,2023,16780
Total,Bachelor's or equivalent level,Total,North Macedonia,2014,57746
Total,Bachelor's or equivalent level,Total,North Macedonia,2015,59359
Total,Bachelor's or equivalent level,Total,North Macedonia,2016,59865
Total,Bachelor's or equivalent level,Total,North Macedonia,2017,58083
Total,Bachelor's or equivalent level,Total,North Macedonia,2018,56941
Total,Bachelor's or equivalent level,Total,North Macedonia,2019,53677
Total,Bachelor's or equivalent level,Total,North Macedonia,2020,51734
Total,Bachelor's or equivalent level,Total,North Macedonia,2021,50881
Total,Bachelor's or equivalent level,Total,North Macedonia,2022,51582
Total,Bachelor's or equivalent level,Total,North Macedonia,2023,53821
Total,Bachelor's or equivalent level,Total,Georgia,2023,121514
Total,Bachelor's or equivalent level,Total,Albania,2021,74382
Total,Bachelor's or equivalent level,Total,Albania,2022,72852
Total,Bachelor's or equivalent level,Total,Albania,2023,71192
Total,Bachelor's or equivalent level,Total,Serbia,2014,200658
Total,Bachelor's or equivalent level,Total,Serbia,2015,194696
Total,Bachelor's or equivalent level,Total,Serbia,2016,200782
Total,Bachelor's or equivalent level,Total,Serbia,2017,205169
Total,Bachelor's or equivalent level,Total,Serbia,2018,197889
Total,Bachelor's or equivalent level,Total,Serbia,2019,191014
Total,Bachelor's or equivalent level,Total,Serbia,2020,182761
Total,Bachelor's or equivalent level,Total,Serbia,2021,179963
Total,Bachelor's or equivalent level,Total,Serbia,2022,179567
Total,Bachelor's or equivalent level,Total,Serbia,2023,184255
Total,Bachelor's or equivalent level,Total,Türkiye,2014,3288079
Total,Bachelor's or equivalent level,Total,Türkiye,2015,3527649
Total,Bachelor's or equivalent level,Total,Türkiye,2016,3790293
Total,Bachelor's or equivalent level,Total,Türkiye,2017,3953263
Total,Bachelor's or equivalent level,Total,Türkiye,2018,4112575
Total,Bachelor's or equivalent level,Total,Türkiye,2019,4278518
Total,Bachelor's or equivalent level,Total,Türkiye,2020,4383540
Total,Bachelor's or equivalent level,Total,Türkiye,2021,4506054
Total,Bachelor's or equivalent level,Total,Türkiye,2022,4394347
Total,Bachelor's or equivalent level,Total,Türkiye,2023,3550442
Total,Bachelor's or equivalent level,Males,Belgium,2014,158693
Total,Bachelor's or equivalent level,Males,Belgium,2015,160014
Total,Bachelor's or equivalent level,Males,Belgium,2016,162440
Total,Bachelor's or equivalent level,Males,Belgium,2017,169017
Total,Bachelor's or equivalent level,Males,Belgium,2018,164034
Total,Bachelor's or equivalent level,Males,Belgium,2019,164198
Total,Bachelor's or equivalent level,Males,Belgium,2020,161887
Total,Bachelor's or equivalent level,Males,Belgium,2021,164088
Total,Bachelor's or equivalent level,Males,Belgium,2022,165006
Total,Bachelor's or equivalent level,Males,Belgium,2023,163409
Total,Bachelor's or equivalent level,Males,Bulgaria,2014,90726
Total,Bachelor's or equivalent level,Males,Bulgaria,2015,88426
Total,Bachelor's or equivalent level,Males,Bulgaria,2016,85459
Total,Bachelor's or equivalent level,Males,Bulgaria,2017,79509
Total,Bachelor's or equivalent level,Males,Bulgaria,2018,74617
Total,Bachelor's or equivalent level,Males,Bulgaria,2019,71871
Total,Bachelor's or equivalent level,Males,Bulgaria,2020,71285
Total,Bachelor's or equivalent level,Males,Bulgaria,2021,70781
Total,Bachelor's or equivalent level,Males,Bulgaria,2022,69241
Total,Bachelor's or equivalent level,Males,Bulgaria,2023,66624
Total,Bachelor's or equivalent level,Males,Czechia,2014,109927
Total,Bachelor's or equivalent level,Males,Czechia,2015,101180
Total,Bachelor's or equivalent level,Males,Czechia,2016,94356
Total,Bachelor's or equivalent level,Males,Czechia,2017,88153
Total,Bachelor's or equivalent level,Males,Czechia,2018,83440
Total,Bachelor's or equivalent level,Males,Czechia,2019,81467
Total,Bachelor's or equivalent level,Males,Czechia,2020,82815
Total,Bachelor's or equivalent level,Males,Czechia,2021,86929
Total,Bachelor's or equivalent level,Males,Czechia,2022,89061
Total,Bachelor's or equivalent level,Males,Czechia,2023,89797
Total,Bachelor's or equivalent level,Males,Denmark,2014,77027
Total,Bachelor's or equivalent level,Males,Denmark,2015,80224
Total,Bachelor's or equivalent level,Males,Denmark,2016,81521
Total,Bachelor's or equivalent level,Males,Denmark,2017,81165
Total,Bachelor's or equivalent level,Males,Denmark,2018,80691
Total,Bachelor's or equivalent level,Males,Denmark,2019,79679
Total,Bachelor's or equivalent level,Males,Denmark,2020,79248
Total,Bachelor's or equivalent level,Males,Denmark,2021,79183
Total,Bachelor's or equivalent level,Males,Denmark,2022,78641
Total,Bachelor's or equivalent level,Males,Denmark,2023,75744
Total,Bachelor's or equivalent level,Males,Germany,2014,958035
Total,Bachelor's or equivalent level,Males,Germany,2015,981474
Total,Bachelor's or equivalent level,Males,Germany,2016,990785
Total,Bachelor's or equivalent level,Males,Germany,2017,997193
Total,Bachelor's or equivalent level,Males,Germany,2018,997463
Total,Bachelor's or equivalent level,Males,Germany,2019,1086446
Total,Bachelor's or equivalent level,Males,Germany,2020,1067388
Total,Bachelor's or equivalent level,Males,Germany,2021,1073383
Total,Bachelor's or equivalent level,Males,Germany,2022,1059616
Total,Bachelor's or equivalent level,Males,Germany,2023,1034717
Total,Bachelor's or equivalent level,Males,Estonia,2014,17391
Total,Bachelor's or equivalent level,Males,Estonia,2015,15446
Total,Bachelor's or equivalent level,Males,Estonia,2016,14044
Total,Bachelor's or equivalent level,Males,Estonia,2017,12796
Total,Bachelor's or equivalent level,Males,Estonia,2018,12316
Total,Bachelor's or equivalent level,Males,Estonia,2019,12145
Total,Bachelor's or equivalent level,Males,Estonia,2020,11852
Total,Bachelor's or equivalent level,Males,Estonia,2021,11906
Total,Bachelor's or equivalent level,Males,Estonia,2022,11671
Total,Bachelor's or equivalent level,Males,Estonia,2023,11560
Total,Bachelor's or equivalent level,Males,Ireland,2014,77307
Total,Bachelor's or equivalent level,Males,Ireland,2015,80578
Total,Bachelor's or equivalent level,Males,Ireland,2016,81353
Total,Bachelor's or equivalent level,Males,Ireland,2017,82300
Total,Bachelor's or equivalent level,Males,Ireland,2018,81897
Total,Bachelor's or equivalent level,Males,Ireland,2019,80570
Total,Bachelor's or equivalent level,Males,Ireland,2020,79570
Total,Bachelor's or equivalent level,Males,Ireland,2021,81859
Total,Bachelor's or equivalent level,Males,Ireland,2022,81743
Total,Bachelor's or equivalent level,Males,Ireland,2023,80384
Total,Bachelor's or equivalent level,Males,Greece,2014,312255
Total,Bachelor's or equivalent level,Males,Greece,2015,314210
Total,Bachelor's or equivalent level,Males,Greece,2016,322773
Total,Bachelor's or equivalent level,Males,Greece,2017,333819
Total,Bachelor's or equivalent level,Males,Greece,2018,346829
Total,Bachelor's or equivalent level,Males,Greece,2019,351830
Total,Bachelor's or equivalent level,Males,Greece,2020,354932
Total,Bachelor's or equivalent level,Males,Greece,2021,371629
Total,Bachelor's or equivalent level,Males,Greece,2022,383699
Total,Bachelor's or equivalent level,Males,Greece,2023,382560
Total,Bachelor's or equivalent level,Males,Spain,2014,539463
Total,Bachelor's or equivalent level,Males,Spain,2015,553642
Total,Bachelor's or equivalent level,Males,Spain,2016,554638
Total,Bachelor's or equivalent level,Males,Spain,2017,555240
Total,Bachelor's or equivalent level,Males,Spain,2018,552160
Total,Bachelor's or equivalent level,Males,Spain,2019,553764
Total,Bachelor's or equivalent level,Males,Spain,2020,552070
Total,Bachelor's or equivalent level,Males,Spain,2021,564017
Total,Bachelor's or equivalent level,Males,Spain,2022,560051
Total,Bachelor's or equivalent level,Males,Spain,2023,558251
Total,Bachelor's or equivalent level,Males,France,2014,399547
Total,Bachelor's or equivalent level,Males,France,2015,412633
Total,Bachelor's or equivalent level,Males,France,2016,428750
Total,Bachelor's or equivalent level,Males,France,2017,431761
Total,Bachelor's or equivalent level,Males,France,2018,433400
Total,Bachelor's or equivalent level,Males,France,2019,440351
Total,Bachelor's or equivalent level,Males,France,2020,446304
Total,Bachelor's or equivalent level,Males,France,2021,466343
Total,Bachelor's or equivalent level,Males,France,2022,508632
Total,Bachelor's or equivalent level,Males,France,2023,523839
